empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
enthusiasm,wants to hang out with friends SOON!
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
worry,Hmmm. http://www.djhero.com/ is down
sadness,@charviray Charlene my love. I miss you
sadness,@kelcouch I'm sorry  at least it's Friday?
neutral,cant fall asleep
worry,Choked on her retainers
